Wen Gao, 0.00017542500962232276
Chin-Chen Chang, 0.0001516923685712731
Wei-Ying Ma, 0.00013496270946328825
Xin Li, 0.00012767413456190978
Licheng Jiao, 0.00012409820637811528
Francky Catthoor, 0.00012203863886629683
H. Vincent Poor, 0.00011864045037993307
Zhaohui Wu, 0.00011773376451276849
Hans-Peter Seidel, 0.00011673838658232994
Xianlong Hong, 0.00011372875348091101
Mario Piattini, 0.00010882833957300277
Wei Zhang, 0.00010786463995350347
Tharam S. Dillon, 0.00010781923811267757
Minglu Li, 0.00010768188589323187
Samuel Pierre, 0.0001039655314442308
Witold Pedrycz, 0.00010159445135266541
Guanrong Chen, 0.00010107457723169963
Wei Liu, 0.00010051830339757158
Hai Jin, 9.961925295023577e-05
David J. Evans, 9.822363211006028e-05
Mario Gerla, 9.72603968850141e-05
Bin Wang, 9.711535643782988e-05
Wei Wang, 9.709528216965254e-05
Alberto L. Sangiovanni-Vincentelli, 9.578750689175139e-05
Jinxiang Dong, 9.511909754286359e-05
Kaushik Roy, 9.345487238418834e-05
Heung-Yeung Shum, 9.270821429321069e-05
Hong Shen, 9.231102805061214e-05
Donald F. Towsley, 9.20039351354226e-05
Yong Zhang, 9.053833770711201e-05
Norman C. Beaulieu, 9.002159341561066e-05
Mahmut T. Kandemir, 8.996536817072494e-05
Philip S. Yu, 8.992507300252977e-05
Azzedine Boukerche, 8.933477999468094e-05
Fang Liu, 8.925815517962777e-05
Mani B. Srivastava, 8.910878779941838e-05
Ajith Abraham, 8.86335422475728e-05
Yvon Savaria, 8.840407055017919e-05
Tak-Wai Chan, 8.83862811438535e-05
Elisa Bertino, 8.728486393662993e-05
Yan Li, 8.727019103745124e-05
Jing Li, 8.700450401104181e-05
Yan Zhang, 8.691057882308394e-05
Xiang Li, 8.645051719824402e-05
Jiannong Cao, 8.598806490920331e-05
Lei Li, 8.555454806100373e-05
Tao Zhang, 8.554798500111323e-05
Chao-Tung Yang, 8.520155293730393e-05
Hsinchun Chen, 8.479429946140938e-05
Katsumi Tanaka, 8.444588662514062e-05
